City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Cape Town,ZA,2020-05-01 23:11:43,-33.93,18.42,51.8,100,47,1.12,fog,0,0
1,Bengkulu,ID,2020-05-01 23:11:43,-3.8,102.27,77.22,85,100,10.07,overcast clouds,0,0
2,Kapaa,US,2020-05-01 23:11:43,22.08,-159.32,78.8,74,75,20.8,broken clouds,0,0
3,Ribeira Grande,PT,2020-05-01 23:11:43,38.52,-28.7,62.89,77,47,28.21,light rain,0,0
4,Yellowknife,CA,2020-05-01 23:11:39,62.46,-114.35,37.4,64,75,2.24,broken clouds,0,0
5,Mahanoro,MG,2020-05-01 23:11:45,-19.9,48.8,70.9,87,16,3.71,few clouds,0,0
6,Touros,BR,2020-05-01 23:11:45,-5.2,-35.46,80.6,88,20,4.7,few clouds,0,0
7,Fenoarivo,MG,2020-05-01 23:11:45,-18.93,47.44,59.0,93,40,2.98,scattered clouds,0,0
8,Castro,BR,2020-05-01 23:11:45,-24.79,-50.01,61.18,67,100,2.44,overcast clouds,0,0
9,Tiarei,PF,2020-05-01 23:11:45,-17.53,-149.33,87.8,66,39,3.36,light rain,0,0
10,Thompson,CA,2020-05-01 23:11:45,55.74,-97.86,35.6,80,90,16.11,overcast clouds,0,0
11,Ilulissat,GL,2020-05-01 23:11:46,69.22,-51.1,30.2,92,100,11.41,light snow,0,0
12,Hilo,US,2020-05-01 23:11:46,19.73,-155.09,79.0,69,90,9.17,light rain,0,0
13,Okhotsk,RU,2020-05-01 23:11:46,59.38,143.3,30.79,98,100,28.39,snow,0,0
14,Vao,NC,2020-05-01 23:11:46,-22.67,167.48,76.6,81,0,17.72,clear sky,0,0
15,Puerto Ayora,EC,2020-05-01 23:11:47,-0.74,-90.35,82.4,74,20,16.11,few clouds,0,0
16,Tsuruga,JP,2020-05-01 23:11:47,35.65,136.06,66.0,80,0,1.99,clear sky,0,0
17,Hobart,AU,2020-05-01 23:08:47,-42.88,147.33,51.01,76,40,18.34,light rain,0,0
18,Ostrovnoy,RU,2020-05-01 23:11:47,68.05,39.51,19.36,94,76,5.84,broken clouds,0,0
19,Barrow,US,2020-05-01 23:10:02,71.29,-156.79,21.2,79,90,8.05,overcast clouds,0,0
20,Bluff,NZ,2020-05-01 23:11:48,-46.6,168.33,56.17,69,100,16.04,overcast clouds,0,0
21,Port Alfred,ZA,2020-05-01 23:11:48,-33.59,26.89,64.0,88,76,5.01,broken clouds,0,0
22,Mataura,NZ,2020-05-01 23:11:48,-46.19,168.86,54.95,66,100,7.14,overcast clouds,0,0
23,Severo-Kurilsk,RU,2020-05-01 23:11:49,50.68,156.12,40.95,84,39,8.05,scattered clouds,0,0
24,Jamestown,US,2020-05-01 23:09:56,42.1,-79.24,48.2,87,90,11.41,overcast clouds,0,0
25,Kattivakkam,IN,2020-05-01 23:11:50,13.22,80.32,86.0,84,69,5.82,broken clouds,0,0
26,Road Town,VG,2020-05-01 23:07:37,18.42,-64.62,81.0,80,9,15.01,clear sky,0,0
27,Rikitea,PF,2020-05-01 23:11:50,-23.12,-134.97,79.38,83,100,17.92,light rain,0,0
28,Busselton,AU,2020-05-01 23:11:50,-33.65,115.33,51.01,41,44,10.16,scattered clouds,0,0
29,Moron,AR,2020-05-01 23:11:50,-34.65,-58.62,63.0,100,22,9.15,few clouds,0,0
30,Kodiak,US,2020-05-01 23:11:51,57.79,-152.41,46.4,61,90,10.29,overcast clouds,0,0
31,Tibiri,NE,2020-05-01 23:11:51,13.56,7.05,90.43,25,45,8.19,scattered clouds,0,0
32,Torbay,CA,2020-05-01 23:11:51,47.67,-52.73,52.0,20,75,17.22,broken clouds,0,0
33,Lakhdenpokhya,RU,2020-05-01 23:11:51,61.52,30.2,35.01,85,56,7.02,broken clouds,0,0
34,Bethel,US,2020-05-01 23:10:57,41.37,-73.41,59.0,82,90,6.93,moderate rain,0,0
