City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Bengkulu,ID,77.22,-3.8,102.27,Grage Hotel Bengkulu
2,Kapaa,US,78.8,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
3,Ribeira Grande,PT,62.89,38.52,-28.7,Quinta da Meia Eira
5,Mahanoro,MG,70.9,-19.9,48.8,Hôtel Mon Désir
8,Castro,BR,61.18,-24.79,-50.01,CHACARA BAILLY
12,Hilo,US,79.0,19.73,-155.09,Hilo Hawaiian Hotel
14,Vao,NC,76.6,-22.67,167.48,Hotel Kou-Bugny
16,Tsuruga,JP,66.0,35.65,136.06,New Sunpia Tsuruga
21,Port Alfred,ZA,64.0,-33.59,26.89,The Halyards Hotel
27,Rikitea,PF,79.38,-23.12,-134.97,Pension Maro'i
29,Moron,AR,63.0,-34.65,-58.62,Hotel Morón
36,Quesnel,CA,62.6,53.0,-122.5,Ramada Limited Quesnel
37,Sao Filipe,CV,77.16,14.9,-24.5,Tortuga B&B
40,Yaan,NG,78.08,7.38,8.57,
42,Lompoc,US,69.8,34.64,-120.46,Holiday Inn Express Lompoc
43,Aljezur,PT,63.0,37.32,-8.8,Amazigh Hostel
44,Cilegon,ID,78.8,-6.02,106.05,Horison Forbis Hotel
46,Santona,ES,63.0,43.44,-3.46,Playamar
47,Grand Gaube,MU,71.01,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
48,Cidreira,BR,62.87,-30.18,-50.21,Novomar Pousada e Turismo Ltda
49,Puerto Leguizamo,CO,76.59,-0.19,-74.78,la casona de juancho
54,Sao Joao Da Barra,BR,72.37,-21.64,-41.05,Pousada Porto De Canoas
56,Ahipara,NZ,68.45,-35.17,173.17,Ahipara Holiday Park
58,Shintomi,JP,62.6,32.08,131.47,ホテルスイート
59,Avarua,CK,73.4,-21.21,-159.78,Paradise Inn
62,Saint-Philippe,RE,69.8,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
66,Hamilton,US,68.0,39.18,-84.53,Six Acres Bed & Breakfast
67,Kaitangata,NZ,60.01,-46.28,169.85,Kaitangata Motor Camp
68,Soe,ID,68.59,-9.86,124.28,Dena Hotel
70,Manjacaze,MZ,65.5,-24.71,33.88,Hotel Gani
71,Saint-Joseph,RE,69.8,-21.37,55.62,"""Plantation Bed and Breakfast"
77,Christchurch,NZ,66.2,-43.53,172.63,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
78,Morondava,MG,75.87,-20.28,44.28,La Case Bambou
79,Santo Antonio Do Ica,BR,78.94,-3.1,-67.94,Hotel Fogaça
80,Ponta Do Sol,PT,66.2,32.67,-17.1,Hotel do Campo
81,Makokou,GA,71.64,0.57,12.86,WAMY RESIDENCE HOTEL
87,Carnarvon,AU,60.8,-24.87,113.63,Hospitality Carnarvon
88,Mattru,SL,78.53,7.62,-11.83,Boima Gbondo's Compound
92,Airai,TL,62.1,-8.93,125.41,Juvinal Martin
94,Sabang,ID,79.54,5.89,95.32,Hotel Citra
96,Namibe,AO,79.56,-15.2,12.15,Chik-Chik Namibe
98,Hasaki,JP,66.0,35.73,140.83,Inubosaki Kanko Hotel
101,Victoria,HK,75.0,22.29,114.16,Mini Hotel Central
103,Saint Pete Beach,US,75.99,27.73,-82.74,TradeWinds Island Grand Resort
107,Nishihara,JP,71.6,26.18,127.76,Minshuku Agaihama
111,Cam Ranh,VN,78.8,11.92,109.16,OYO 598 Peony Hotel
114,Eureka,US,66.0,40.8,-124.16,Eureka Inn
117,Hirara,JP,77.0,24.8,125.28,Hotel Atoll Emerald Miyakojima
118,El Alto,PE,72.88,-4.27,-81.21,Black Marlin Lodge & Restaurant
120,East London,ZA,67.17,-33.02,27.91,Tu Casa
124,Faya,SA,66.2,18.39,42.45,مقبرة ال مجمل
126,Arraial Do Cabo,BR,74.28,-22.97,-42.03,Pousada Porto Praia
131,Shingu,JP,68.59,33.73,135.98,新宮ユーアイホテル
133,Rundu,,61.36,-17.93,19.77,Millennia Estate
134,Bambanglipuro,ID,75.58,-7.95,110.28,Puri Brata
135,Fortuna,US,69.01,40.6,-124.16,Super 8 by Wyndham Fortuna
136,Barcelos,PT,60.8,41.54,-8.62,Hotel Do Terço
137,Pouso Alegre,BR,61.65,-22.23,-45.94,Hotel Ferraz
143,Umm Lajj,SA,75.16,25.02,37.27,Tanal Hotel Apartment
146,Chicama,PE,73.62,-7.84,-79.15,Hospedaje Punta Cana PERU
148,Simpang,ID,73.09,-1.27,104.08,Sk 7 rt 1 dusun 3 rantau makmur berbak
149,Mufulira,ZM,61.63,-12.55,28.24,Kamiria lodge
150,Souillac,MU,75.2,-20.52,57.52,Bils' Villa
151,Nkhotakota,MW,73.56,-12.93,34.3,Sitima Inn
152,Coromandel,BR,61.95,-18.47,-47.2,Hotel Dona Adélia
153,Kondoa,TZ,60.13,-4.9,35.78,Kinyuma Lodge
154,Santa Cruz De La Palma,ES,68.0,28.68,-17.76,H10 Taburiente Playa
155,Odweyne,SO,75.09,9.41,45.06,Eng Hiirey House
156,Oranjemund,,62.04,-28.55,16.43,Fisherman's Cove
159,San Jose,US,77.0,37.34,-121.89,The Westin San Jose
164,Werda,BW,63.84,-25.27,23.28,
166,Ca Mau,VN,79.48,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
169,Sakakah,SA,71.6,29.97,40.21,Fakhamat Al Orjoana Apartment
170,Balkanabat,TM,64.0,39.51,54.37,Nebitchi Hotel
174,Huarmey,PE,71.74,-10.07,-78.15,Hotel Miramar
175,San Quintin,MX,68.76,30.48,-115.95,Old Mill Hotel
176,Katsuura,JP,70.0,35.13,140.3,Katsuura Hotel Mikazuki
179,Tingi,TZ,61.83,-11.3,35.03,
180,Sydney,AU,60.8,-33.87,151.21,QT Sydney
181,Nabire,ID,79.56,-3.37,135.48,Hotel Nusantara Nabire
182,Naze,JP,69.8,28.37,129.48,奄美ポートタワーホテル
184,Owando,CG,72.63,-0.48,15.9,Exaunel Hotel Owando
188,Paranaiba,BR,70.18,-19.68,-51.19,Villa Rica Park Hotel GMR
189,Quatre Cocos,MU,75.2,-20.21,57.76,Veranda Palmar Beach Hotel
