City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2020-04-24 03:09:33,-33.65,115.33,70.0,51,26,12.44
1,Hilo,US,2020-04-24 03:08:44,19.73,-155.09,80.6,57,40,9.17
2,Upernavik,GL,2020-04-24 03:09:33,72.79,-56.15,24.8,97,3,7.78
3,Albany,US,2020-04-24 03:05:46,42.6,-73.97,44.6,45,75,6.93
4,Rikitea,PF,2020-04-24 03:09:34,-23.12,-134.97,76.01,77,24,12.17
5,Saint-Philippe,RE,2020-04-24 03:09:34,-21.36,55.77,75.2,88,20,10.29
6,Agdas,AZ,2020-04-24 03:09:35,40.65,47.48,41.0,93,90,4.7
7,Paamiut,GL,2020-04-24 03:09:35,61.99,-49.67,35.22,86,82,6.08
8,Hobart,AU,2020-04-24 03:09:35,-42.88,147.33,63.0,42,75,17.22
9,Chokurdakh,RU,2020-04-24 03:09:35,70.63,147.92,25.74,96,0,7.96
10,Bluff,NZ,2020-04-24 03:09:35,-46.6,168.33,60.01,63,90,7.0
11,Amahai,ID,2020-04-24 03:09:36,-3.33,128.92,87.57,63,13,3.87
12,Suntar,RU,2020-04-24 03:09:36,62.14,117.63,36.14,82,100,4.63
13,Korla,CN,2020-04-24 03:09:25,41.76,86.15,68.16,14,0,7.54
14,Mataura,NZ,2020-04-24 03:09:36,-46.19,168.86,60.01,63,73,7.0
15,Serenje,ZM,2020-04-24 03:09:36,-13.23,30.24,54.14,63,2,4.45
16,Kui Buri,TH,2020-04-24 03:09:37,12.08,99.85,87.8,62,20,5.82
17,Jamestown,US,2020-04-24 03:09:37,42.1,-79.24,50.0,61,40,4.7
18,Airai,TL,2020-04-24 03:09:37,-8.93,125.41,71.58,49,87,4.99
19,Alice Springs,AU,2020-04-24 03:09:37,-23.7,133.88,89.6,21,1,16.11
20,Saskylakh,RU,2020-04-24 03:09:37,71.92,114.08,25.92,97,100,11.59
21,Shenjiamen,CN,2020-04-24 03:09:38,29.96,122.3,58.71,66,0,5.86
22,Arraial Do Cabo,BR,2020-04-24 03:09:38,-22.97,-42.03,74.1,68,14,6.6
23,Tasiilaq,GL,2020-04-24 03:09:38,65.61,-37.64,37.4,95,28,2.24
24,Port Alfred,ZA,2020-04-24 03:09:38,-33.59,26.89,63.0,95,100,1.99
25,Gorom-Gorom,BF,2020-04-24 03:09:38,14.44,-0.24,87.6,13,63,4.0
26,Kapaa,US,2020-04-24 03:09:39,22.08,-159.32,80.6,69,40,11.41
27,Mitsamiouli,KM,2020-04-24 03:09:39,-11.38,43.28,82.18,70,17,2.95
28,Kafr Sawm,JO,2020-04-24 03:09:39,32.68,35.8,54.21,75,44,3.15
29,Chaohu,CN,2020-04-24 03:09:39,31.6,117.87,68.0,42,10,11.18
30,Sitka,US,2020-04-24 03:09:39,57.05,-135.33,46.4,75,90,9.17
31,Puerto Ayora,EC,2020-04-24 03:09:17,-0.74,-90.35,79.0,84,94,5.01
32,Padang,ID,2020-04-24 03:09:40,-0.95,100.35,88.7,55,76,1.16
33,Sambava,MG,2020-04-24 03:09:40,-14.27,50.17,74.12,83,61,7.43
34,Mahebourg,MU,2020-04-24 03:09:40,-20.41,57.7,75.99,89,46,7.0
35,Uribia,CO,2020-04-24 03:09:40,11.71,-72.27,80.24,72,24,17.96
36,Alofi,NU,2020-04-24 03:09:41,-19.06,-169.92,87.8,70,40,8.05
37,Port Moresby,PG,2020-04-24 03:09:41,-9.44,147.18,86.0,74,40,13.87
38,Atuona,PF,2020-04-24 03:09:41,-9.8,-139.03,82.09,69,0,13.13
39,Tatawin,TN,2020-04-24 03:09:41,32.93,10.45,55.4,82,0,2.24
40,Barrow,US,2020-04-24 03:09:41,71.29,-156.79,21.2,92,90,4.7
41,Nikolskoye,RU,2020-04-24 03:09:41,59.7,30.79,35.6,80,100,4.47
42,Banda Aceh,ID,2020-04-24 03:09:42,5.56,95.32,83.97,70,93,3.11
43,Svetlogorsk,BY,2020-04-24 03:09:42,52.63,29.73,40.33,85,36,7.76
44,Carnarvon,AU,2020-04-24 03:09:43,-24.87,113.63,78.8,69,0,18.34
45,Saldanha,ZA,2020-04-24 03:09:43,-33.01,17.94,64.4,68,100,3.36
46,Nantucket,US,2020-04-24 03:09:43,41.28,-70.1,44.6,69,40,10.29
47,Caernarfon,GB,2020-04-24 03:09:44,53.14,-4.27,52.0,87,33,3.36
48,Hermanus,ZA,2020-04-24 03:09:44,-34.42,19.23,60.01,81,78,9.53
49,Merrill,US,2020-04-24 03:09:44,45.18,-89.68,39.2,88,90,8.05
50,Lagoa,PT,2020-04-24 03:09:44,39.05,-27.98,59.49,82,100,7.2
51,Berlevag,NO,2020-04-24 03:09:45,70.86,29.09,28.51,95,100,30.02
52,Thompson,CA,2020-04-24 03:09:45,55.74,-97.86,37.4,74,90,4.7
53,Severo-Kurilsk,RU,2020-04-24 03:09:45,50.68,156.12,33.73,92,100,7.43
54,Ostrovnoy,RU,2020-04-24 03:09:45,68.05,39.51,27.55,97,100,22.53
55,Faya,SA,2020-04-24 03:09:45,18.39,42.45,60.8,54,7,1.32
56,Baykit,RU,2020-04-24 03:09:46,61.67,96.37,45.21,70,100,6.64
57,Cassia,BR,2020-04-24 03:09:46,-20.58,-46.92,64.26,73,0,2.06
58,Lebu,CL,2020-04-24 03:09:46,-37.62,-73.65,55.4,88,100,15.05
59,Diffa,NE,2020-04-24 03:09:46,13.32,12.61,82.96,13,0,9.01
60,Mahina,PF,2020-04-24 03:09:46,-17.51,-149.49,87.8,52,22,5.82
61,Ribeira Grande,PT,2020-04-24 03:09:47,38.52,-28.7,59.74,76,94,6.02
62,Antibes,FR,2020-04-24 03:09:47,43.56,7.13,60.01,54,0,10.29
63,Tuatapere,NZ,2020-04-24 03:09:47,-46.13,167.68,60.01,63,90,7.0
64,Lapua,FI,2020-04-24 03:09:47,62.97,23.01,39.0,89,75,8.05
65,Ushuaia,AR,2020-04-24 03:09:47,-54.8,-68.3,39.2,80,40,27.51
66,Punta Arenas,CL,2020-04-24 03:09:48,-53.15,-70.92,37.4,69,40,8.05
67,Sabang,ID,2020-04-24 03:09:48,5.89,95.32,84.92,70,98,4.36
68,Fez,MA,2020-04-24 03:08:12,34.04,-5.0,57.2,82,10,2.24
69,Oro Valley,US,2020-04-24 03:09:48,32.39,-110.97,84.2,13,1,10.29
70,Jasper,US,2020-04-24 03:09:49,37.2,-94.35,61.0,82,1,3.36
